# atol, fx, fy, p, qx, qy
1e-05	0.00133372054188	0.00207744605456	41.8707568838	9.67993043906e-06	1.03521128011e-05	
1e-06	7.55928503837e-06	0.000390393500395	11.1167724013	2.39441277399e-06	2.52344510498e-06	
1e-07	7.76784116854e-05	7.80983344459e-05	1.42977206307	7.50227925063e-08	7.2532303371e-08	
1e-08	4.43166841979e-06	6.94487615127e-06	0.428651150217	8.77143363469e-09	1.0010596428e-08	
1e-09	8.09924338707e-09	1.46762602071e-08	0.000119565131845	2.00956173668e-10	1.85675161214e-10	
1e-10	2.42300624009e-11	2.46940246029e-11	1.83785994778e-06	2.06114192276e-11	1.93118815352e-11	
1e-11	1.07092112955e-12	2.39175346195e-12	1.28648406388e-08	1.94081735681e-12	1.85851237004e-12	
1e-12	4.41868763801e-14	1.29229960066e-13	1.4077187133e-07	1.84303305926e-13	1.80817411922e-13	
1e-13	2.55351295664e-14	1.49880108324e-14	9.30541754519e-09	5.79268823826e-14	4.15041295127e-14	
1e-14	1.23789867246e-13	1.90625293328e-13	7.27498394256e-08	5.22127263195e-14	3.78891174492e-14	
1e-15	1.84519066693e-13	3.35953487252e-13	8.92540367577e-08	5.17892083747e-14	3.76391176034e-14	
